--!<g-gps><s-SportClimb>updated<u-URL><d-Database>
-Aini Wall(25.80761474034348,56.15667660441432)!g--
-Intake (Caretaker) Quarry (53.091314,-1.596076) (updated 27.12.16)-114!gsu
-Jebel Dhawan(24.26314849195016,56.00042028253953)!g--
-Jebel Fayah(25.11937532356677,55.84605584207296)!g--
-Jebel Fokha(Unknown,Unknown)!---
-Jebel Ghul (Unknown,Unknown)!---
-Jebel Hafeet Boulders(24.09614217810186,55.77156474723904)!g--
-Jebel Hila(25.81422377271993,56.11448731988313)!g--
-Jebel Idhn(25.46937184564116,56.00212917603216)!g--
-Jebel Kawr(Unknown,Unknown)!---
-Jebel Misfat Al Abriyeen(Unknown,Unknown)!---
-Jebel Misht(Unknown,Unknown)!---
-Jebel M'Saw(Unknown,Unknown)!---
-Jebel Nakhus(Unknown,Unknown)!---
-Jebel Umm Bak(24.23008140400026,55.97005078997897)!g--
-Junction Wall(25.896478,56.141167)!g--
-Khartoum Al Laf(25.97673452215851,56.13649259677914)!g--
-Khasab Beach(26.2133,56.2669)!g--
-Kubrah Canyon (Unknown,Unknown)!---
-Ladyside Crag(53.095991,-1.858034) (updated 1.9.17)!gsu
-Limah Rock(25.9420635741938,56.46605828950906)!g--
-Little Gem Buttress(Unknown,Unknown)!---
-Long Tor Quarry(53.124546,-1.559687) (updated 7.5.16)!gsu
-Lorry Park Quarry(53.132914,-1.558730)!g--
-Masson Lees(53.128406,-1.573069)!gsu
-Monk's Buttress(52.995709,-3.165076)-136!g--
-NPZ(24.1053978070597,55.77218261078312)!g--
-Nearside Wall(25.896221,56.141206)!g--
-Ninety Metre(25.80622967726474,56.18246373308175)!g--
-Nizwa Towers (Unknown,Unknown)!---
-Outwoods(52.745529,-1.240031)!g--
xPaul's Secret Boulders(24.09614217810186,55.77156474723904)!xxx
-Pin Dale Quarry(53.336711,-1.763509)!gsu
-Ramadan Buttress(25.77875621237232,56.09220842310038)!g--
-Ravens Tor(53.081914,-1.790477) (Dovedale)!gsu
-Red Rock(Unknown,Unknown)!---
xRoadside(Unknown,Unknown)!xxx
-Rotisserie Stack(25.78709089849409,56.344429867707)!g--
-Ruwi Slab(Unknown,Unknown)!---
-Scorpion Buttress(Unknown,Unknown)!
-Sentinel(25.77843749949748,56.08597380075437)!g--
-Shady Circus(25.98358881566874,56.16088210405703)!g--
-Shark Fin(24.11335772259393,56.06245470354709)!g--
xSit Down-Stoney!xxx
-Slaley Brook(53.111282,-1.590635) (updated 11.8.17)!gsu
-Smalldale(53.290781,-1.854761)!gsu
-Spice Block(Unknown,Unknown)!---
-Spice World(25.8141437571541,56.18652818798269)!g--
-Staden Quarry(53.247564,-1.880083) (updated 18.8.16)!g--
-Stardust(25.9266666666667,56.0802777777778)!g--
-Stoney Middleton(53.277881,-1.666654)-Stoney!g--
-Stoney Middleton.Electric Quarry(53.280098,-1.673066)!g--
-Stoney Middleton.Garage Buttress(53.2775901,-1.6641091) (updated 16.4.18)-Stoney!gsu
-Stoney West(53.279642,-1.677514)-Stoney!gsu
-Stoney Wood(53.085428,-1.573569)!g--
-Tawiyan Crag(25.5852976032984,56.10083970611026)!g--
-Telegraph Buttress(Unknown,Unknown)!---
-Telegraph Island(26.195747,56.343461)!g--
-The Balcony(53.277980,-1.671850)-Stoney-148!g--
-The Colosseum(25.60960760765192,56.16374987673997)!g--
-The Cuttings(50.5412,-2.4255)!g--
-The Play Pen(26.06448122446004,56.43885074192998)!g--
xThe Ravine!xxx
-The Roadside Area(25.77636825005857,56.09229490580482)!g--
-The Threesomes(25.88775768178013,56.13320002246589)!g--
-The Wendy Walls(Unknown,Unknown)!--
-Thunder Gorge(25.8526770763762,56.09855224524903)!g--
-Toms Cave(Unknown,Unknown)-Stoney!--
-Trident Gorge(25.89018767649461,56.13399507112969)!g--
-Turkey Dip Rocks(Unknown,Unknown)!--
-Umq Bir(Unknown,Unknown)!---
-Umq(Unknown,Unknown)!--
-UnNamed01(25.82032447723405,56.20992434516924)!g--
-Wadi Adai(Unknown,Unknown)!---
-Wadi Al Bidey(25.67215303517027,56.21156857665818)!g--
-Wadi Bani Awf(Unknown,Unknown)!---
-Wadi Bani Khalid(Unknown,Unknown)!---
-Wadi Daykah (Unknown,Unknown)!---
-Wadi Fins(Unknown,Unknown)!---
-Wadi Ghalalah(25.97653053977627,56.10871398601888)!g--
-Wadi Hilti(25.7095152542348,56.23916000119524)!g--
-Wadi Louab(25.79181616064974,56.19158327913461)!g--
-Wadi Maih Roadside(Unknown,Unknown)!---
-Wadi Mayh(Unknown,Unknown)!---
-Wadi Muaydin(Unknown,Unknown)!---
-Wadi Nakhar(Unknown,Unknown)!---
-Wadi Qada Boulders(25.7824448745255,56.08066355923019)!g--
-Wadi Sal Al A'la(26.02151768994474,56.33703713693518)g--
-Wadi Shab(Unknown,Unknown)!--
-Wadi Shur(Unknown,Unknown)!--
-Wadi Suwayh(Unknown,Unknown)!--
-Wadi Tanuf(Unknown,Unknown)!--
-Wadi Tiwi(Unknown,Unknown)!--
-Warzone(25.79556985089769,56.17528240965593)!g--
-Water-Cum-Jolly.Central Buttress(53.253937,-1.755266)!gsu
-Water-Cum-Jolly.Majorca Buttress(53.250550, -1.749260)!gsu
-Water-Cum-Jolly.Moat Buttress(53.251335,-1.747942)!gsu
-Water-Cum-Jolly.Rubicon Wall(53.252684,-1.743724)!gsu
-Water-Cum-Jolly.Swamp Wall(53.251203,-1.751733)!gsu
-Water-Cum-Jolly.The Cornice(53.252257,-1.752880)!g--
-Water-Cum-Jolly.Two Tier Buttress(53.252800,-1.752995)(updated 6.7.16)!g--
-Wolfscote Dale(53.122522,-1.804777) (updated 15.7.17)!gsu
-Wonderwall(24.07917954594049,56.04844711657173)!g--
-Yellow House(25.8761143507978,56.10392120493905)!g--
-Zombie Skull(Unknown,Unknown)!--
